time,gFx,gFy,gFz,TgF
0.001158,0.0239,1.0364,-0.0198,1.037
0.001649,0.0220,1.0378,-0.0178,1.038
0.001925,0.0220,1.0344,-0.0120,1.035
0.005825,0.0195,1.0383,-0.0100,1.039
0.008266,0.0186,1.0339,-0.0032,1.034
0.008492,0.0190,1.0354,-0.0022,1.036
0.015235,0.0151,1.0349,-0.0002,1.035
0.015593,0.0151,1.0325,0.0057,1.033
0.018400,0.0186,1.0281,0.0067,1.028
0.018679,0.0161,1.0310,0.0018,1.031
0.018798,0.0166,1.0300,0.0081,1.030
0.023913,0.0181,1.0290,0.0096,1.029
0.028806,0.0166,1.0281,0.0052,1.028
0.029288,0.0190,1.0251,0.0052,1.025
0.034696,0.0161,1.0227,0.0096,1.023
0.035136,0.0171,1.0217,0.0042,1.022
0.043330,0.0200,1.0202,0.0071,1.020
0.043845,0.0190,1.0168,0.0032,1.017
0.044133,0.0239,1.0207,0.0086,1.021
0.044403,0.0225,1.0217,0.0052,1.022
0.049300,0.0220,1.0178,0.0042,1.018
0.050082,0.0234,1.0202,0.0071,1.021
0.054732,0.0269,1.0198,0.0037,1.020
0.055259,0.0269,1.0183,0.0052,1.019
0.058595,0.0249,1.0159,0.0057,1.016
0.058909,0.0293,1.0193,0.0052,1.020
0.064024,0.0249,1.0178,0.0027,1.018
0.064351,0.0244,1.0183,0.0003,1.019
0.074244,0.0273,1.0207,0.0057,1.021
0.074755,0.0288,1.0227,0.0042,1.023
0.075018,0.0259,1.0217,0.0027,1.022
0.075272,0.0239,1.0222,0.0013,1.022
0.075513,0.0244,1.0232,0.0027,1.023
0.079062,0.0244,1.0237,0.0008,1.024
0.083518,0.0264,1.0251,0.0042,1.025
0.083880,0.0244,1.0271,0.0032,1.027
0.087897,0.0239,1.0281,0.0076,1.028
0.088311,0.0254,1.0285,0.0067,1.029
0.093014,0.0254,1.0281,0.0071,1.028
0.093352,0.0230,1.0295,0.0067,1.030
0.099274,0.0230,1.0320,0.0096,1.032
0.099775,0.0186,1.0290,0.0091,1.029
0.105090,0.0230,1.0290,0.0096,1.029
0.105770,0.0171,1.0329,0.0091,1.033
0.109451,0.0190,1.0354,0.0052,1.036
0.110074,0.0186,1.0383,0.0091,1.039
0.117897,0.0146,1.0334,0.0101,1.034
0.118488,0.0151,1.0359,0.0081,1.036
0.118772,0.0146,1.0364,0.0101,1.037
0.119052,0.0122,1.0398,0.0106,1.040
0.125098,0.0142,1.0349,0.0096,1.035
0.125911,0.0137,1.0349,0.0125,1.035
0.126200,0.0083,1.0373,0.0091,1.037
0.130170,0.0122,1.0388,0.0154,1.039
0.133342,0.0117,1.0325,0.0115,1.033
0.134609,0.0151,1.0364,0.0110,1.037
0.138149,0.0117,1.0354,0.0125,1.036
0.138952,0.0137,1.0329,0.0110,1.033
0.143876,0.0151,1.0329,0.0120,1.033
0.144617,0.0142,1.0344,0.0101,1.035
0.149160,0.0146,1.0315,0.0125,1.032
0.150749,0.0176,1.0285,0.0130,1.029
0.157984,0.0166,1.0300,0.0159,1.030
0.159078,0.0195,1.0305,0.0062,1.031
0.159638,0.0205,1.0276,0.0106,1.028
0.160103,0.0225,1.0281,0.0096,1.028
0.160519,0.0195,1.0295,0.0081,1.030
0.165014,0.0225,1.0256,0.0052,1.026
0.177234,0.0225,1.0300,0.0067,1.030
0.177915,0.0220,1.0300,0.0071,1.030
0.178205,0.0254,1.0242,0.0037,1.024
0.178425,0.0239,1.0266,0.0032,1.027
0.178640,0.0283,1.0290,-0.0007,1.029
0.178798,0.0298,1.0276,0.0037,1.028
0.191894,0.0322,1.0315,-0.0012,1.032
0.192324,0.0303,1.0266,0.0013,1.027
0.192508,0.0352,1.0281,0.0037,1.029
0.192666,0.0371,1.0310,0.0003,1.032
0.197142,0.0400,1.0310,0.0071,1.032
0.197749,0.0400,1.0334,0.0032,1.034
0.201853,0.0400,1.0334,0.0076,1.034
0.202191,0.0415,1.0305,0.0008,1.031
0.202356,0.0386,1.0354,0.0081,1.036
0.204812,0.0405,1.0325,0.0096,1.033
0.210035,0.0386,1.0339,0.0067,1.035
0.210356,0.0381,1.0320,0.0096,1.033
0.215737,0.0371,1.0344,0.0106,1.035
0.216172,0.0366,1.0364,0.0071,1.037
0.218786,0.0366,1.0354,0.0086,1.036
0.219203,0.0352,1.0315,0.0096,1.032
0.225859,0.0366,1.0281,0.0067,1.029
0.226267,0.0366,1.0320,0.0067,1.033
0.226462,0.0356,1.0290,0.0086,1.030
0.233355,0.0361,1.0295,0.0042,1.030
0.234361,0.0356,1.0266,0.0057,1.027
0.234691,0.0391,1.0246,0.0071,1.025
0.239960,0.0337,1.0232,0.0071,1.024
0.240489,0.0366,1.0237,0.0081,1.024
0.240744,0.0347,1.0222,0.0076,1.023
0.244188,0.0327,1.0217,0.0047,1.022
0.250773,0.0322,1.0212,0.0071,1.022
0.251331,0.0352,1.0217,0.0101,1.022
0.255261,0.0347,1.0202,0.0081,1.021
0.255739,0.0342,1.0207,0.0062,1.021
0.261281,0.0435,1.0159,0.0101,1.017
0.262202,0.0488,1.0173,0.0067,1.019
0.263883,0.0538,1.0163,0.0076,1.018
0.264578,0.0562,1.0227,0.0120,1.024
0.273450,0.0577,1.0251,0.0086,1.027
0.274761,0.0498,1.0246,0.0106,1.026
0.275175,0.0498,1.0305,0.0135,1.032
0.275517,0.0488,1.0281,0.0110,1.029
0.275816,0.0498,1.0300,0.0076,1.031
0.279163,0.0474,1.0276,0.0027,1.029
0.283965,0.0479,1.0329,-0.0007,1.034
0.284320,0.0439,1.0290,0.0023,1.030
0.290470,0.0425,1.0305,0.0023,1.031
0.291042,0.0405,1.0320,0.0018,1.033
0.291272,0.0396,1.0300,-0.0081,1.031
0.294047,0.0366,1.0276,-0.0046,1.028
0.301892,0.0332,1.0251,-0.0017,1.026
0.302356,0.0386,1.0256,-0.0066,1.026
0.308839,0.0352,1.0237,-0.0037,1.024
0.309796,0.0337,1.0242,-0.0071,1.025
0.310106,0.0332,1.0173,-0.0066,1.018
0.310354,0.0293,1.0178,-0.0085,1.018
0.316527,0.0303,1.0178,-0.0046,1.018
0.316938,0.0317,1.0232,-0.0095,1.024
0.320115,0.0313,1.0198,-0.0100,1.020
0.320894,0.0278,1.0237,-0.0042,1.024
0.321187,0.0303,1.0217,-0.0100,1.022
0.324405,0.0322,1.0281,-0.0095,1.029
0.329701,0.0308,1.0281,-0.0105,1.029
0.330890,0.0317,1.0295,-0.0071,1.030
0.335597,0.0273,1.0305,-0.0046,1.031
0.336824,0.0293,1.0310,-0.0027,1.031
0.340256,0.0254,1.0354,-0.0037,1.036
0.341411,0.0288,1.0339,-0.0037,1.034
0.342417,0.0244,1.0295,0.0003,1.030
0.350996,0.0210,1.0320,-0.0012,1.032
0.352823,0.0210,1.0320,0.0062,1.032
0.354396,0.0195,1.0354,0.0023,1.036
0.355521,0.0220,1.0354,0.0067,1.036
0.356531,0.0190,1.0334,0.0086,1.034
0.372877,0.0151,1.0325,0.0057,1.033
0.374881,0.0161,1.0310,0.0081,1.031
0.375849,0.0181,1.0325,0.0086,1.033
0.376949,0.0166,1.0310,0.0052,1.031
0.378454,0.0166,1.0276,0.0052,1.028
0.379366,0.0156,1.0354,0.0067,1.036
0.380169,0.0176,1.0354,0.0013,1.036
0.381019,0.0166,1.0285,0.0023,1.029
0.382014,0.0181,1.0290,-0.0012,1.029
0.382528,0.0142,1.0315,0.0003,1.032
0.385899,0.0200,1.0349,-0.0032,1.035
0.387146,0.0215,1.0339,-0.0081,1.034
0.390550,0.0210,1.0339,-0.0056,1.034
0.391444,0.0205,1.0344,-0.0076,1.035
0.392024,0.0254,1.0334,-0.0120,1.034
0.402671,0.0195,1.0349,-0.0071,1.035
0.403246,0.0220,1.0368,-0.0105,1.037
0.403445,0.0220,1.0388,-0.0173,1.039
0.405475,0.0205,1.0354,-0.0154,1.036
0.405974,0.0225,1.0378,-0.0164,1.038
0.411133,0.0225,1.0364,-0.0183,1.037
0.411629,0.0151,1.0359,-0.0178,1.036
0.416123,0.0166,1.0354,-0.0183,1.036
0.416390,0.0186,1.0364,-0.0227,1.037
0.416539,0.0151,1.0373,-0.0208,1.038
0.419707,0.0112,1.0364,-0.0232,1.037
0.425363,0.0122,1.0349,-0.0242,1.035
0.425924,0.0122,1.0368,-0.0232,1.037
0.431750,0.0112,1.0354,-0.0247,1.036
0.432618,0.0127,1.0334,-0.0247,1.034
0.436810,0.0088,1.0368,-0.0237,1.037
0.437474,0.0112,1.0398,-0.0276,1.040
0.440307,0.0083,1.0383,-0.0286,1.039
0.440732,0.0039,1.0408,-0.0266,1.041
0.446037,0.0044,1.0393,-0.0291,1.040
0.446698,0.0015,1.0383,-0.0315,1.039
0.446951,0.0073,1.0412,-0.0291,1.042
0.451306,0.0010,1.0447,-0.0310,1.045
0.454876,0.0005,1.0403,-0.0286,1.041
0.455296,0.0015,1.0388,-0.0315,1.039
0.463207,0.0024,1.0427,-0.0261,1.043
0.464869,0.0005,1.0383,-0.0305,1.039
0.466575,-0.0015,1.0378,-0.0305,1.038
0.477879,-0.0005,1.0412,-0.0276,1.042
0.478486,-0.0010,1.0329,-0.0276,1.033
0.478671,-0.0024,1.0359,-0.0247,1.036
0.478831,0.0015,1.0359,-0.0286,1.036
0.478976,0.0024,1.0281,-0.0227,1.028
0.481218,-0.0059,1.0315,-0.0217,1.032
0.481738,0.0020,1.0305,-0.0203,1.031
0.485469,0.0010,1.0295,-0.0212,1.030
0.486377,0.0010,1.0276,-0.0227,1.028
0.492171,0.0005,1.0266,-0.0203,1.027
0.492626,-0.0015,1.0266,-0.0193,1.027
0.492879,-0.0024,1.0227,-0.0222,1.023
0.496664,0.0039,1.0212,-0.0198,1.021
0.501668,0.0039,1.0202,-0.0217,1.020
0.502158,0.0049,1.0227,-0.0217,1.023
0.506041,0.0029,1.0207,-0.0217,1.021
0.506797,0.0049,1.0183,-0.0183,1.018
0.512762,0.0034,1.0222,-0.0208,1.022
0.513729,0.0073,1.0212,-0.0227,1.022
0.515910,0.0068,1.0207,-0.0222,1.021
0.516642,0.0078,1.0183,-0.0217,1.019
0.520184,0.0078,1.0207,-0.0222,1.021
0.521846,0.0063,1.0232,-0.0237,1.023
0.526812,0.0063,1.0251,-0.0188,1.025
0.527788,0.0059,1.0227,-0.0222,1.023
0.528208,0.0073,1.0256,-0.0247,1.026
0.530157,0.0029,1.0242,-0.0247,1.024
0.536034,0.0039,1.0212,-0.0247,1.022
0.537114,0.0073,1.0242,-0.0266,1.025
0.540188,0.0049,1.0246,-0.0251,1.025
0.540920,0.0024,1.0242,-0.0242,1.024
0.545900,0.0005,1.0266,-0.0237,1.027
0.547124,0.0029,1.0256,-0.0276,1.026
0.552309,0.0068,1.0242,-0.0281,1.025
0.553382,0.0015,1.0266,-0.0305,1.027
0.555868,0.0024,1.0305,-0.0339,1.031
0.556754,0.0029,1.0276,-0.0320,1.028
0.557301,0.0044,1.0237,-0.0271,1.024
