time,gFx,gFy,gFz,TgF
0.001102708,0.0015,1.0364,-0.0598,1.038
0.001580208,0.0039,1.0383,-0.0613,1.040
0.006657604,0.0034,1.0378,-0.0525,1.039
0.007072812,0.0034,1.0398,-0.0481,1.041
0.008944531,0.0024,1.0408,-0.0457,1.042
0.009213073,-0.0044,1.0417,-0.0398,1.043
0.012781406,-0.0049,1.0417,-0.0408,1.043
0.013078073,-0.0103,1.0349,-0.0364,1.036
0.018435573,-0.0117,1.0437,-0.0369,1.044
0.018740104,-0.0151,1.0373,-0.0388,1.038
0.02307026,-0.0205,1.0378,-0.0364,1.039
0.023404062,-0.0220,1.0344,-0.0339,1.035
0.028155833,-0.0244,1.0320,-0.0305,1.033
0.028437604,-0.0249,1.0300,-0.0325,1.031
0.032394635,-0.0239,1.0266,-0.0310,1.027
0.032636406,-0.0288,1.0222,-0.0291,1.023
0.040194948,-0.0313,1.0183,-0.0247,1.019
0.04049276,-0.0278,1.0183,-0.0178,1.019
0.043052968,-0.0249,1.0188,-0.0178,1.019
0.043350052,-0.0269,1.0217,-0.0100,1.022
0.049195,-0.0244,1.0198,-0.0144,1.020
0.04951875,-0.0239,1.0173,-0.0115,1.018
0.053280312,-0.0259,1.0188,-0.0100,1.019
0.05389776,-0.0230,1.0163,-0.0120,1.017
0.058627916,-0.0239,1.0212,-0.0159,1.022
0.058889687,-0.0220,1.0183,-0.0149,1.019
0.062767448,-0.0195,1.0183,-0.0178,1.019
0.063090937,-0.0181,1.0212,-0.0173,1.022
0.067911458,-0.0171,1.0217,-0.0212,1.022
0.068190989,-0.0137,1.0237,-0.0198,1.024
0.073722135,-0.0161,1.0222,-0.0193,1.023
0.074099739,-0.0098,1.0222,-0.0193,1.022
0.079252656,-0.0132,1.0212,-0.0217,1.022
0.079814114,-0.0161,1.0246,-0.0271,1.025
0.08559427,-0.0132,1.0261,-0.0247,1.026
0.086142135,-0.0176,1.0276,-0.0261,1.028
0.093753541,-0.0171,1.0305,-0.0320,1.031
0.094332812,-0.0190,1.0285,-0.0330,1.029
0.094621354,-0.0195,1.0359,-0.0374,1.037
0.09489177,-0.0205,1.0364,-0.0369,1.037
0.100075416,-0.0181,1.0364,-0.0418,1.037
