time,gFx,gFy,gFz,TgF
0.001170677,-0.0132,1.0256,-0.0554,1.027
0.001512708,-0.0122,1.0256,-0.0593,1.027
0.001710156,-0.0156,1.0285,-0.0559,1.030
0.001885468,-0.0156,1.0281,-0.0593,1.030
0.00484026,-0.0127,1.0276,-0.0579,1.029
0.005218645,-0.0161,1.0305,-0.0579,1.032
0.012489739,-0.0176,1.0339,-0.0574,1.036
0.012748958,-0.0234,1.0334,-0.0579,1.035
0.014000052,-0.0220,1.0354,-0.0549,1.037
0.01425776,-0.0278,1.0364,-0.0530,1.038
0.019239114,-0.0278,1.0368,-0.0593,1.039
0.01962375,-0.0317,1.0305,-0.0530,1.032
0.023962812,-0.0342,1.0300,-0.0461,1.032
0.024225677,-0.0239,1.0266,-0.0481,1.028
0.028859427,-0.0195,1.0256,-0.0422,1.027
0.029205625,-0.0176,1.0232,-0.0466,1.024
0.034762239,-0.0161,1.0246,-0.0481,1.026
0.035127395,-0.0186,1.0212,-0.0461,1.022
0.039385416,-0.0181,1.0217,-0.0496,1.023
0.039616354,-0.0176,1.0227,-0.0452,1.024
0.044295104,-0.0171,1.0227,-0.0486,1.024
0.044606198,-0.0127,1.0183,-0.0447,1.019
0.050658958,-0.0186,1.0217,-0.0437,1.023
0.051049948,-0.0151,1.0232,-0.0471,1.024
0.051246406,-0.0186,1.0242,-0.0457,1.025
0.054107083,-0.0210,1.0222,-0.0471,1.024
0.059198489,-0.0234,1.0193,-0.0510,1.021
0.059602604,-0.0200,1.0242,-0.0476,1.025
0.065692291,-0.0200,1.0207,-0.0471,1.022
0.066044062,-0.0190,1.0232,-0.0481,1.024
0.069477135,-0.0225,1.0217,-0.0466,1.023
0.069891406,-0.0186,1.0159,-0.0461,1.017
0.075328125,-0.0215,1.0212,-0.0476,1.023
0.075677968,-0.0205,1.0222,-0.0432,1.023
0.079442239,-0.0200,1.0198,-0.0452,1.021
0.079710104,-0.0239,1.0222,-0.0432,1.023
0.084655312,-0.0230,1.0232,-0.0422,1.024
0.085225312,-0.0230,1.0242,-0.0447,1.025
0.091053802,-0.0244,1.0285,-0.0418,1.030
0.091459583,-0.0269,1.0256,-0.0452,1.027
0.095581198,-0.0288,1.0271,-0.0486,1.029
0.095991406,-0.0278,1.0305,-0.0457,1.032
0.101251406,-0.0264,1.0261,-0.0442,1.027
0.10181552,-0.0269,1.0295,-0.0486,1.031
0.102328333,-0.0244,1.0315,-0.0481,1.033
0.104653645,-0.0254,1.0276,-0.0471,1.029
0.115144635,-0.0220,1.0305,-0.0530,1.032
0.116110416,-0.0186,1.0290,-0.0471,1.030
0.116524114,-0.0176,1.0285,-0.0520,1.030
0.116854218,-0.0117,1.0281,-0.0549,1.030
0.125141354,-0.0171,1.0276,-0.0520,1.029
0.125652135,-0.0156,1.0305,-0.0515,1.032
0.12589375,-0.0220,1.0281,-0.0525,1.030
0.126098958,-0.0210,1.0285,-0.0559,1.030
0.130058802,-0.0225,1.0237,-0.0544,1.025
0.130414948,-0.0190,1.0242,-0.0520,1.026
0.136311198,-0.0176,1.0246,-0.0476,1.026
0.136650833,-0.0156,1.0217,-0.0525,1.023
0.14043,-0.0146,1.0154,-0.0496,1.017
0.141057395,-0.0171,1.0212,-0.0466,1.022
0.145436875,-0.0117,1.0217,-0.0461,1.023
0.145907968,-0.0156,1.0178,-0.0442,1.019
0.150524791,-0.0103,1.0173,-0.0452,1.018
0.150910364,-0.0151,1.0149,-0.0398,1.016
0.15653375,-0.0166,1.0159,-0.0398,1.017
0.15721125,-0.0181,1.0159,-0.0383,1.017
0.161722135,-0.0195,1.0193,-0.0403,1.020
0.162397552,-0.0225,1.0159,-0.0369,1.017
0.16632901,-0.0244,1.0168,-0.0339,1.018
0.166893802,-0.0230,1.0212,-0.0359,1.022
0.174774635,-0.0210,1.0193,-0.0325,1.020
0.17543552,-0.0234,1.0183,-0.0295,1.019
0.179327968,-0.0215,1.0212,-0.0354,1.022
0.179958645,-0.0239,1.0188,-0.0354,1.020
0.180285104,-0.0220,1.0237,-0.0339,1.024
0.18061776,-0.0195,1.0207,-0.0349,1.022
0.185216406,-0.0166,1.0242,-0.0335,1.025
0.185783645,-0.0117,1.0281,-0.0374,1.029
0.191212656,-0.0117,1.0281,-0.0310,1.029
0.191632031,-0.0156,1.0334,-0.0310,1.034
0.198281093,-0.0181,1.0373,-0.0305,1.038
0.198904531,-0.0176,1.0368,-0.0320,1.037
0.201685104,-0.0186,1.0359,-0.0339,1.037
0.202300989,-0.0200,1.0393,-0.0295,1.040
0.205537604,-0.0239,1.0403,-0.0305,1.041
0.206088437,-0.0200,1.0393,-0.0349,1.040
0.215155729,-0.0215,1.0427,-0.0369,1.044
0.216023541,-0.0200,1.0461,-0.0471,1.047
0.216436354,-0.0215,1.0476,-0.0452,1.049
0.216877708,-0.0186,1.0491,-0.0457,1.050
0.224445833,-0.0200,1.0525,-0.0447,1.054
0.224832708,-0.0225,1.0500,-0.0486,1.051
0.22844526,-0.0200,1.0476,-0.0515,1.049
0.228798958,-0.0244,1.0495,-0.0544,1.051
0.230839375,-0.0288,1.0505,-0.0510,1.052
0.231119479,-0.0308,1.0539,-0.0461,1.055
0.231313229,-0.0317,1.0525,-0.0422,1.054
0.23541427,-0.0391,1.0525,-0.0359,1.054
0.241235677,-0.0361,1.0505,-0.0408,1.052
0.241587447,-0.0386,1.0530,-0.0359,1.054
0.246635052,-0.0366,1.0530,-0.0344,1.054
0.247066197,-0.0322,1.0559,-0.0330,1.057
