time,gFx,gFy,gFz,TgF
9.29791E-4,0.0215,1.0290,-0.1116,1.035
0.001352552,0.0234,1.0246,-0.1082,1.031
0.0017275,0.0230,1.0256,-0.1082,1.032
0.001967552,0.0244,1.0251,-0.1057,1.031
0.004652968,0.0230,1.0227,-0.1038,1.028
0.00497526,0.0239,1.0212,-0.1018,1.027
0.010165052,0.0278,1.0222,-0.1008,1.028
0.010403333,0.0225,1.0212,-0.0984,1.026
0.01578125,0.0327,1.0168,-0.0940,1.022
0.016346614,0.0317,1.0217,-0.0901,1.026
0.020240729,0.0313,1.0212,-0.0847,1.025
0.020457656,0.0332,1.0202,-0.0808,1.024
0.024679218,0.0352,1.0222,-0.0779,1.026
0.025121458,0.0371,1.0251,-0.0730,1.028
0.0313,0.0405,1.0237,-0.0750,1.027
0.031940833,0.0405,1.0246,-0.0696,1.028
0.03213625,0.0449,1.0276,-0.0657,1.031
0.034453229,0.0420,1.0271,-0.0652,1.030
0.039473854,0.0459,1.0256,-0.0632,1.029
0.039815416,0.0518,1.0237,-0.0632,1.027
0.044459479,0.0508,1.0237,-0.0628,1.027
0.044719218,0.0508,1.0227,-0.0628,1.026
0.049838906,0.0508,1.0281,-0.0657,1.031
0.050177135,0.0430,1.0276,-0.0676,1.031
0.059910312,0.0454,1.0256,-0.0735,1.029
0.060321718,0.0479,1.0261,-0.0715,1.030
0.060483802,0.0493,1.0251,-0.0784,1.029
0.060620312,0.0498,1.0237,-0.0818,1.028
0.067832708,0.0479,1.0237,-0.0906,1.029
0.068164687,0.0518,1.0198,-0.0911,1.025
0.070237031,0.0474,1.0173,-0.0955,1.023
0.070506927,0.0533,1.0129,-0.1004,1.019
0.075504739,0.0488,1.0095,-0.0999,1.016
0.07588026,0.0469,1.0144,-0.1033,1.021
0.076003385,0.0444,1.0154,-0.1028,1.022
0.082308698,0.0449,1.0163,-0.1033,1.023
0.084609479,0.0493,1.0144,-0.1008,1.021
0.084823333,0.0488,1.0154,-0.1047,1.022
0.091012083,0.0483,1.0188,-0.1038,1.025
0.091330937,0.0488,1.0222,-0.1047,1.029
0.096521875,0.0479,1.0193,-0.0999,1.025
0.096939323,0.0439,1.0227,-0.0950,1.028
0.100749375,0.0410,1.0285,-0.0960,1.034
0.101238021,0.0430,1.0271,-0.0935,1.032
0.105914948,0.0405,1.0315,-0.0940,1.037
0.106466093,0.0366,1.0300,-0.0911,1.035
0.11456651,0.0366,1.0281,-0.0916,1.033
0.115248281,0.0376,1.0325,-0.0896,1.037
0.115617656,0.0356,1.0344,-0.0828,1.038
0.115970156,0.0356,1.0325,-0.0833,1.036
0.121115677,0.0381,1.0329,-0.0818,1.037
0.122334739,0.0391,1.0354,-0.0808,1.039
0.126136823,0.0400,1.0315,-0.0774,1.035
0.126729687,0.0420,1.0305,-0.0794,1.034
0.132156823,0.0425,1.0300,-0.0774,1.034
