time,gFx,gFy,gFz,TgF
0.001833854,0.0210,1.0295,-0.1028,1.035
0.002253177,0.0230,1.0276,-0.0925,1.032
0.002527812,0.0244,1.0281,-0.0867,1.032
0.002845572,0.0283,1.0271,-0.0842,1.031
0.003072968,0.0259,1.0256,-0.0789,1.029
0.003298333,0.0215,1.0266,-0.0754,1.030
0.003687604,0.0225,1.0246,-0.0657,1.027
0.003951093,0.0210,1.0222,-0.0647,1.024
0.008456302,0.0195,1.0202,-0.0598,1.022
0.008864895,0.0171,1.0207,-0.0540,1.022
0.013340468,0.0127,1.0246,-0.0544,1.026
0.013713854,0.0166,1.0193,-0.0520,1.021
0.017935729,0.0107,1.0173,-0.0525,1.019
0.018279427,0.0093,1.0144,-0.0461,1.015
0.023087395,0.0088,1.0188,-0.0461,1.020
0.023428541,0.0098,1.0154,-0.0461,1.016
0.031703489,0.0122,1.0154,-0.0442,1.016
0.032104114,0.0088,1.0124,-0.0413,1.013
0.032672916,0.0112,1.0149,-0.0383,1.016
0.032885,0.0088,1.0134,-0.0393,1.014
0.039117343,0.0093,1.0183,-0.0393,1.019
0.039450104,0.0078,1.0202,-0.0369,1.021
0.042903072,0.0083,1.0168,-0.0388,1.018
0.043166822,0.0054,1.0149,-0.0418,1.016
0.04771526,0.0078,1.0149,-0.0427,1.016
0.048075208,0.0054,1.0154,-0.0447,1.016
0.053994739,0.0024,1.0149,-0.0471,1.016
0.054347135,0.0068,1.0163,-0.0554,1.018
0.059338489,0.0073,1.0110,-0.0554,1.013
0.059861562,0.0098,1.0129,-0.0608,1.015
0.063103125,0.0127,1.0139,-0.0647,1.016
0.063477552,0.0107,1.0163,-0.0647,1.018
0.067960052,0.0122,1.0173,-0.0671,1.020
0.068324375,0.0171,1.0212,-0.0715,1.024
0.073340208,0.0190,1.0163,-0.0706,1.019
0.07385625,0.0234,1.0242,-0.0779,1.027
0.079277343,0.0264,1.0222,-0.0798,1.026
0.079716041,0.0278,1.0222,-0.0833,1.026
0.079933489,0.0322,1.0281,-0.0881,1.032
0.08412026,0.0361,1.0222,-0.0891,1.027
0.090006875,0.0435,1.0325,-0.0862,1.037
0.09070875,0.0527,1.0300,-0.0842,1.035
0.094530208,0.0577,1.0285,-0.0916,1.034
0.095092656,0.0567,1.0261,-0.0921,1.032
0.102706406,0.0587,1.0271,-0.0906,1.033
0.103389635,0.0557,1.0310,-0.0906,1.036
0.103797708,0.0572,1.0320,-0.0921,1.038
0.104142291,0.0527,1.0276,-0.0872,1.033
0.110032604,0.0523,1.0315,-0.0921,1.037
0.110716145,0.0454,1.0290,-0.0974,1.035
0.113827187,0.0435,1.0266,-0.0950,1.032
0.114370312,0.0405,1.0246,-0.1004,1.030
0.118972083,0.0366,1.0256,-0.1018,1.031
0.119339947,0.0366,1.0295,-0.1018,1.035
0.12481776,0.0322,1.0276,-0.1067,1.034
0.125558645,0.0313,1.0261,-0.1043,1.032
0.134209635,0.0313,1.0251,-0.1033,1.031
0.134824843,0.0264,1.0281,-0.1047,1.034
0.13511552,0.0278,1.0310,-0.1077,1.037
0.135406562,0.0239,1.0222,-0.1087,1.028
0.14083177,0.0234,1.0285,-0.1033,1.034
0.141482656,0.0195,1.0315,-0.1062,1.037
0.141658906,0.0215,1.0295,-0.1008,1.035
0.143737187,0.0166,1.0290,-0.0994,1.034
0.150157968,0.0186,1.0320,-0.0960,1.037
0.150532083,0.0249,1.0295,-0.0969,1.034
0.154883072,0.0244,1.0271,-0.0925,1.032
0.155325572,0.0249,1.0290,-0.0925,1.033
0.155558697,0.0234,1.0305,-0.0886,1.035
0.158644531,0.0239,1.0266,-0.0906,1.031
0.167697239,0.0200,1.0290,-0.0906,1.033
0.168276197,0.0205,1.0315,-0.0891,1.036
0.168686979,0.0166,1.0276,-0.0960,1.032
0.168948124,0.0156,1.0285,-0.0930,1.033
0.176460572,0.0103,1.0281,-0.0964,1.033
0.177255364,0.0068,1.0232,-0.0984,1.028
0.180356093,0.0078,1.0246,-0.0960,1.029
0.180968854,0.0063,1.0222,-0.1013,1.027
0.185605677,0.0000,1.0193,-0.0974,1.024
0.186139635,-0.0020,1.0207,-0.0964,1.025
0.189742187,-0.0024,1.0246,-0.0969,1.029
0.190370364,-0.0107,1.0256,-0.0925,1.030
0.195266197,-0.0103,1.0266,-0.0974,1.031
0.195762499,-0.0137,1.0305,-0.0906,1.035
0.20165026,-0.0127,1.0344,-0.0872,1.038
0.202289791,-0.0186,1.0349,-0.0828,1.038
0.205159322,-0.0181,1.0417,-0.0779,1.045
0.205822812,-0.0195,1.0476,-0.0720,1.050
0.209987291,-0.0200,1.0544,-0.0696,1.057
0.210515781,-0.0190,1.0578,-0.0691,1.060
0.214795416,-0.0176,1.0598,-0.0647,1.062
0.215343906,-0.0156,1.0598,-0.0608,1.062
0.219737552,-0.0112,1.0667,-0.0549,1.068
0.220246458,-0.0078,1.0701,-0.0515,1.071
0.226103854,-0.0015,1.0687,-0.0442,1.070
0.226505416,0.0024,1.0677,-0.0461,1.069
0.226682916,0.0063,1.0687,-0.0427,1.070
0.228796093,0.0107,1.0667,-0.0437,1.068
0.234224427,0.0146,1.0647,-0.0442,1.066
0.234558541,0.0225,1.0628,-0.0442,1.064
0.240071197,0.0230,1.0588,-0.0461,1.060
0.240414374,0.0244,1.0544,-0.0510,1.056
0.24461302,0.0259,1.0559,-0.0559,1.058
0.244974479,0.0308,1.0549,-0.0628,1.057
